ID,Name,Age,Score,Category
1,John,23.0,85.0,A
2,Jane,29.0,78.0,B
3,Bob,22.0,88.0,A
4,Mary,30.0,92.0,B
5,Tom,21.0,95.0,A
6,Lucy,31.0,100.0,B
7,Luke,24.0,80.0,A
8,Kate,26.0,50.0,B
9,Ann,25.0,82.02409638554217,A
10,Sam,27.0,75.0,B
11,Paul,26.0,82.0,A
12,Nina,28.0,82.02409638554217,B
14,Rita,29.0,92.0,B
15,Eva,26.0,78.0,A
16,Zoe,26.0,86.0,B
18,Cara,27.0,93.0,B
19,Leo,24.0,79.0,A
20,Lisa,23.0,82.02409638554217,B
21,Mike,30.0,90.0,A
22,Sean,21.0,82.02409638554217,B
23,Tina,33.0,85.0,A
24,Oscar,26.0,76.0,B
25,Booker,23.0,84.0,A
26,Maya,29.0,89.0,B
27,Max,25.0,73.0,A
28,Jimmy,30.0,82.02409638554217,B
29,Diana,22.0,88.0,A
30,Nate,27.0,75.0,B
31,Roy,24.0,90.0,A
32,Sara,31.0,79.0,B
33,Leo,28.0,66.0,A
34,Lena,30.0,82.02409638554217,B
35,Mike,29.0,68.0,A
36,Chloe,32.0,87.0,B
37,Mason,21.0,85.0,A
38,Emma,22.0,82.02409638554217,B
39,Chris  ,20.0,94.0,A
40,Karl,26.0,82.02409638554217,B
41,Yara,30.0,90.0,A
42,Tyler,24.0,71.0,B
43,Clara,28.0,83.0,A
44,  Emily,32.0,91.0,B
45,Isla,25.0,68.0,A
46,Peter,22.0,77.0,B
47,Faye,25.0,80.0,A
48,Claudia,26.0,69.0,B
49,James,24.0,88.0,A
50,Miriam,26.0,82.02409638554217,B
51,Aiden,26.0,89.0,A
52,Alia,21.0,75.0,B
53,Shawn,29.0,80.0,A
54,Cindy,31.0,95.0,B
55,Rob,22.0,84.0,A
56,Larry,22.0,91.0,B
57,Nora,25.0,82.02409638554217,A
58,Riley,28.0,68.0,B
59,Ollie,30.0,82.02409638554217,A
60,Rowan,24.0,85.0,B
61,Kendall,26.0,81.0,A
62,Brad,28.0,93.0,B
64,Hank,30.0,82.02409638554217,B
65,Eli,25.0,70.0,A
66,Ted,29.0,76.0,B
67,Chad,24.0,82.0,A
68,Ava,21.0,85.0,B
69,Holly,26.0,81.0,A
70,Anya,27.0,95.0,B
71,Kurt,24.0,89.0,A
72,Jess,30.0,82.02409638554217,B
73,Ethan,25.0,87.0,A
74,Drew,32.0,74.0,B
75,Ashley,29.0,88.0,A
76,Pam,26.0,76.0,B
77,Sid,28.0,90.0,A
78,Knox,21.0,82.02409638554217,B
79,Tara,25.0,84.0,A
80,Nate,24.0,80.0,B
81,Quin,26.0,68.0,A
82,Rory,30.0,75.0,B
83,Rachel,22.0,82.02409638554217,A
84,Sandy,21.0,86.0,B
85,Zoey,25.0,91.0,A
86,Nick,29.0,73.0,B
87,Gary,30.0,82.02409638554217,A
88,Hana,32.0,92.0,B
89,Anne,26.0,68.0,A
90,Greg,24.0,80.0,B
91,Melanie,29.0,89.0,A
92,Josh,22.0,94.0,B
93,Paige,26.0,78.0,A
94,Clint,30.0,82.02409638554217,B
95,Nia,21.0,82.0,A
96,John,26.0,75.0,B
97,Leah,26.0,90.0,A
98,Troy,24.0,88.0,B
100,Luke,22.0,85.0,B
