ID,Name,Age,Score,Category
1,John,23,85,A
2,Jane,29,78,B
3,Bob,22,88,A
4,Mary,30,92,B
5,Tom,21,95,A
6,Lucy,31,100,B
7,Luke,24,80,A
8,Kate,,50,B
9,Ann,25,NA,A
10,Sam,27,75,B
11,Paul,26,82,A
12,Nina,28,NA,B
13,Scott,22,65,
14,Rita,29,92,B
15,Eva,,78,A
16,Zoe,26,86,B
17,,25,71,A
18,Cara,27,93,B
19,Leo,24,79,A
20,Lisa,23,NA,B
21,Mike,30,90,A
22,Sean,21,NA,B
23,Tina,33,85,A
24,Oscar,,76,B
25,Booker,23,84,A
26,Maya,29,89,B
27,Max,25,73,A
28,Jimmy,30,NA,B
29,Diana,22,88,A
30,Nate,27,75,B
31,Roy,24,90,A
32,Sara,31,79,B
33,Leo,28,66,A
34,Lena,30,NA,B
35,Mike,29,68,A
36,Chloe,32,87,B
37,Mason,21,85,A
38,Emma,22,NA,B
39,Chris  ,20,94,A
40,Karl,26,NA,B
41,Yara,30,90,A
42,Tyler,24,  71,B
43,Clara,28,83,A
44,  Emily,32,91,B
45,Isla,25,68,A
46,Peter,22,77,B
47,Faye,25,80,A
48,Claudia,,69,B
49,James,24,88,A
50,Miriam,26,NA,B
51,Aiden,,89,A
52,Alia,21,75,B
53,Shawn,29,80,A
54,Cindy,31,95,B
55,Rob,22,84,A
56,Larry,22,91,B
57,Nora,25,NA,A
58,Riley,28,68,B
59,Ollie,30,,A
60,Rowan,24,85,B
61,Kendall,,81,A
62,Brad,28,93,B
63,Kim,32,78,
64,Hank,30,NA,B
65,Eli,25,70,A
66,Ted,29,76,B
67,Chad,24,82,A
68,Ava,21,85,B
69,Holly,,81,A
70,Anya,27,95,B
71,Kurt,24,89,A
72,Jess,30,NA,B
73,Ethan,25,87,A
74,Drew,32,74,B
75,Ashley,29,88,A
76,Pam,,76,B
77,Sid,28,90,A
78,Knox,21,NA,B
79,Tara,25,84,A
80,Nate,24,80,B
81,Quin,,68,A
82,Rory,30,75,B
83,Rachel,22,NA,A
84,Sandy,21,86,B
85,Zoey,25,91,A
86,Nick,29,73,B
87,Gary,30,NA,A
88,Hana,32,92,B
89,Anne,26,68,A
90,Greg,24,80,B
91,Melanie,29,89,A
92,Josh,22,94,B
93,Paige,,78,A
94,Clint,30,NA,B
95,Nia,21,82,A
96,John,26,75,B
97,Leah,,90,A
98,Troy,24,88,B
99,,29,83,A
100,Luke,22,85,B
